,EntityKey,CommitteeID,CommitteeName,CommitteeAddress,CommitteeCity,CommitteeState,CommitteeZip,CommitteeType,CommitteeTypeDesc,MostRecentOrganizationDate,MostRecentSupportCandidateId,MostRecentOpposeCandidateId,InsertDate,UpdateDate
0,1,05BQC00104,LINCOLN LIAISON COMMITTEE (DISSOLVED 2005),PO BOX 29529,LINCOLN,NE,68529,B,Ballot Question,2005-03-24,,,2021-10-24 14:13:22.607,
1,2,05BQC00105,COMMITTEE FOR CITIZENS' PROTECTION,709 E 28TH STREET,SCOTTSBLUFF,NE,69361,B,Ballot Question,2005-04-19,,,2021-10-24 14:13:22.607,
2,3,05BQC00106,COMMITTEE FOR FUNDING OUR FUTURE,317 COLLEGE AVE,YORK,NE,68467,B,Ballot Question,2005-04-28,,,2021-10-24 14:13:22.607,
3,4,05BQC00107,NEW ERA IN HEALTH CARE COMMITTEE (DISSOLVED),551 N LINDEN STREET PO BOX 277,WAHOO,NE,68066,B,Ballot Question,2005-05-13,,,2021-10-24 14:13:22.607,
4,5,05BQC00108,COMMITTEE TO PUT KIDS FIRST,424 WEST THIRD STREET,GRAND ISLAND,NE,68801,B,Ballot Question,2005-06-06,,,2021-10-24 14:13:22.607,
5,6,05BQC00109,VOTE FOR THE DOGS,6891 A STREET SUIITE 210 PMB 114,LINCOLN,NE,68510,B,Ballot Question,2005-06-10,,,2021-10-24 14:13:22.607,
6,7,05BQC00110,NEBRASKANS FOR LOCAL SCHOOLS (DISSOLVED),"RT 1, BOX 34",ELYRIA,NE,68837,B,Ballot Question,2005-07-01,,,2021-10-24 14:13:22.607,
7,8,05BQC00112,NEIGHBORS FOR BETTER STREETS AND SEWERS,15750 W. DODGE ROAD,OMAHA,NE,68118,B,Ballot Question,2005-08-30,,,2021-10-24 14:13:22.607,
8,9,05BQC00115,CITIZENS FOR PUBLIC SAFETY (2005) (DISSOLVED),2315 WEST DIVISION STREET,GRAND ISLAND,NE,68803,B,Ballot Question,2005-09-19,,,2021-10-24 14:13:22.607,
9,10,05BQC00116,YES FOR AMENDMENT ONE (DISSOLVED IN 2006),6003 OLD CHENEY ROAD,LINCOLN,NE,68516,B,Ballot Question,2005-09-29,,,2021-10-24 14:13:22.607,
10,11,05BQC00117,FREMONT FAMILY FUN POOL (DISSOLVED),1005 EAST 23RD STREET,FREMONT,NE,68025,B,Ballot Question,2005-11-29,,,2021-10-24 14:13:22.607,
11,12,05BQC00118,COMMUNITY FOR KIDS COMMITTEE,7001 S. 27TH STREET,LINCOLN,NE,68512,B,Ballot Question,2005-12-20,,,2021-10-24 14:13:22.607,
12,13,05CAC00721,RUBY FOR LEGISLATURE,321 JACKSON AVE,SEWARD,NE,68434,C,Candidate Committee,2005-03-30,99FIS07363,,2021-10-24 14:13:22.607,
13,14,05CAC00722,GOVERNOR HEINEMAN COMMITTEE,1121 MAPLE COVE,FREMONT,NE,68025,C,Candidate Committee,2005-04-08,99FIS05555,,2021-10-24 14:13:22.607,
14,15,05CAC00723,TONY MERRITT FOR SCHOOL BOARD COMMITTEE,2635 C STREET,LINCOLN,NE,68502,C,Candidate Committee,2005-04-12,,,2021-10-24 14:13:22.607,
15,16,05CAC00724,CITIZENS FOR BEUTLER,7021 FERNHILL PL.; PO BOX 84161,LINCOLN,NE,68501,C,Candidate Committee,2005-05-10,99FIS00031,,2021-10-24 14:13:22.607,
16,17,05CAC00725,MUNGER FOR LEGISLATURE,PO BOX 30243,LINCOLN,NE,68503,C,Candidate Committee,2005-05-16,05FIS09988,,2021-10-24 14:13:22.607,
17,18,05CAC00726,AVERY FOR LEGISLATURE (DISSOLVED),1925 E STREET,LINCOLN,NE,68510,C,Candidate Committee,2005-05-17,05FIS09994,,2021-10-24 14:13:22.607,
