,EntityKey,CommitteeID,CommitteeName,CommitteeAddress,CommitteeCity,CommitteeState,CommitteeZip,CommitteeType,CommitteeTypeDesc,MostRecentOrganizationDate,MostRecentSupportCandidateId,MostRecentOpposeCandidateId,InsertDate,UpdateDate
0,30790,20CAC02721,CAMERON GALES FOR METRO BOARD - NOT REGISTERED,NOT REGISTERED,KEYSTONE,NE,69144,C,Candidate Committee,0190-01-01,,,,2021-08-09 09:31:24.980
1,15341,12PAC00166,FARMERS EMPLOYEE AND AGENT PAC,7340 WEST MEMORIAL,OKLAHOMA CITY,OK,73142,S,Separate Segregated Political Fund Committee,2012-01-30,,,,
2,15342,12PAC00167,PLANNED PARENTHOOD VOTERS OF NE PAC,3105 NORTH 93RD STREET,OMAHA,NE,68134,S,Separate Segregated Political Fund Committee,2012-02-08,,,,
3,15343,12PAC00169,OMAHA JOBS PAC (NOT REGISTERED),NOT REGISTERED,,,68116,B,Ballot Question,2012-12-21,,,,2021-08-09 09:31:24.980
4,15344,13BQC00329,PLAINVIEW 1% LOCAL OPTION SALES TAX (NR),NOT A REGISTERED COMMITTEE,PLAINVIEW,NE,68769,B,Ballot Question,9999-12-31,,,,2021-08-09 09:31:24.980
5,15345,13BQC00330,BELLEVUE PROPOSITION 1 (NOT REGISTERED),NOT A REGISTERED COMMITTEE,PAPILLION,NE,68046,B,Ballot Question,2013-01-18,,,,2021-01-25 13:23:54.743
6,15346,13BQC00331,,,,,,C,Candidate Committee,1900-01-01,,,,2021-08-09 09:31:24.980
7,15347,13BQC00332,JOB IN NEBRASKA PAC (NOT REGISTERED,NOT REGISTERED,OMAHA,NE,68114,B,Ballot Question,1900-01-01,,,,2021-08-09 09:31:24.980
8,15348,13BQC00333,SUPPORT OMAHA BUSINESS COMMITTEE (NOT REGISTERED),NOT REGISTERED,OMAHA,NE,68114,B,Ballot Question,1900-01-01,,,,2021-08-09 09:31:24.980
9,15349,13BQC00334,ABS COMMITTEE (NOT REGISTERED),NOT REGISTERED,OMAHA,NE,68114,B,Ballot Question,1900-01-01,,,,2021-08-09 09:31:24.980
10,15350,13BQC00335,MILLARD FAMILIES FOR SAFE SCHOOLS (DISSOLVED),17605 WRIGHT ST,OMAHA,NE,68130,B,Ballot Question,2013-02-21,,,,
11,15351,13BQC00336,PLEASANTON SCHOOL FUND (NR),PO BOX 247,PLEASANTON,NE,68866,B,Ballot Question,2013-02-27,,,,2021-08-09 09:31:24.980
12,15352,13BQC00337,2013 CENTENNIAL BOND BOARD (NOT REGISTERED),PO BOX 324,UTICA,NE,68456,B,Ballot Question,1900-01-01,,,,2021-08-09 09:31:24.980
13,15353,13BQC00338,WEEPING WATER SCHOOL BOND 2013,104 N. EAST PARK ST.,WEEPING WATER,NE,68463,B,Ballot Question,2013-03-29,,,,
14,15354,13BQC00355,VOTE 4 HOLDREGE KIDS (DISSOLVED),"420 EAST AVE, PO BOX 822",HOLDREGE,NE,68949,B,Ballot Question,2013-04-11,,,,
15,15355,13BQC00356,SAVE OUR ROADS COMMITTEE (DISSOLVED),404 JOHN ST,ODELL,NE,68415,B,Ballot Question,2013-05-09,,,,
16,15356,13BQC00357,CITIZENS FOR BUILDING OUR FUTURE 2013,1660 SUMMIT DRIVE,SIDNEY,NE,69162,B,Ballot Question,2013-08-05,,,,
