,RecipientEntityKey,RecipientEntityID,EntityPrefix,EntityType,RecipientName,IsNotRegistered,DoNotUse,IsDissolved,FullName,LastName,FirstName,MiddleInitial,RecipientAddress,RecipientCity,RecipientState,RecipientZip,IsContributingEntity,IsRecipientEntity,SupportCandidateEntityKey,IsCurrentExecutiveBranch,ContributorTypeGroup,ContributorTypeGroupDesc
0,1,05BQC00104,BQC,Ballot Question Committee,LINCOLN LIAISON COMMITTEE,,,1.0,,,,,PO BOX 29529,LINCOLN,NE,68529,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
1,2,05BQC00105,BQC,Ballot Question Committee,COMMITTEE FOR CITIZENS' PROTECTION,,,,,,,,709 E 28TH STREET,SCOTTSBLUFF,NE,69361,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
2,3,05BQC00106,BQC,Ballot Question Committee,COMMITTEE FOR FUNDING OUR FUTURE,,,,,,,,317 COLLEGE AVE,YORK,NE,68467,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
3,4,05BQC00107,BQC,Ballot Question Committee,NEW ERA IN HEALTH CARE COMMITTEE,,,1.0,,,,,551 N LINDEN STREET PO BOX 277,WAHOO,NE,68066,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
4,5,05BQC00108,BQC,Ballot Question Committee,COMMITTEE TO PUT KIDS FIRST,,,,,,,,424 WEST THIRD STREET,GRAND ISLAND,NE,68801,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
5,6,05BQC00109,BQC,Ballot Question Committee,VOTE FOR THE DOGS,,,,,,,,6891 A STREET SUIITE 210 PMB 114,LINCOLN,NE,68510,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
6,7,05BQC00110,BQC,Ballot Question Committee,NEBRASKANS FOR LOCAL SCHOOLS,,,1.0,,,,,"RT 1, BOX 34",ELYRIA,NE,68837,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
7,8,05BQC00112,BQC,Ballot Question Committee,NEIGHBORS FOR BETTER STREETS AND SEWERS,,,,,,,,15750 W. DODGE ROAD,OMAHA,NE,68118,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
8,9,05BQC00115,BQC,Ballot Question Committee,CITIZENS FOR PUBLIC SAFETY (2005),,,1.0,,,,,2315 WEST DIVISION STREET,GRAND ISLAND,NE,68803,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
9,10,05BQC00116,BQC,Ballot Question Committee,YES FOR AMENDMENT ONE,,,1.0,,,,,6003 OLD CHENEY ROAD,LINCOLN,NE,68516,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
10,11,05BQC00117,BQC,Ballot Question Committee,FREMONT FAMILY FUN POOL,,,1.0,,,,,1005 EAST 23RD STREET,FREMONT,NE,68025,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
11,12,05BQC00118,BQC,Ballot Question Committee,COMMUNITY FOR KIDS COMMITTEE,,,,,,,,7001 S. 27TH STREET,LINCOLN,NE,68512,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
12,13,05CAC00721,CAC,Candidate Committee,RUBY FOR LEGISLATURE,,,,,,,,321 JACKSON AVE,SEWARD,NE,68434,,1,47864,False,PCB,"Party, Candidate or Ballot Question Commitee"
13,14,05CAC00722,CAC,Candidate Committee,GOVERNOR HEINEMAN COMMITTEE,,,,,,,,1121 MAPLE COVE,FREMONT,NE,68025,1.0,1,46379,False,PCB,"Party, Candidate or Ballot Question Commitee"
14,15,05CAC00723,CAC,Candidate Committee,TONY MERRITT FOR SCHOOL BOARD COMMITTEE,,,,,,,,2635 C STREET,LINCOLN,NE,68502,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
15,16,05CAC00724,CAC,Candidate Committee,CITIZENS FOR BEUTLER,,,,,,,,7021 FERNHILL PL.; PO BOX 84161,LINCOLN,NE,68501,1.0,1,43257,False,PCB,"Party, Candidate or Ballot Question Commitee"
16,17,05CAC00725,CAC,Candidate Committee,MUNGER FOR LEGISLATURE,,,,,,,,PO BOX 30243,LINCOLN,NE,68503,1.0,1,485,False,PCB,"Party, Candidate or Ballot Question Commitee"
17,18,05CAC00726,CAC,Candidate Committee,AVERY FOR LEGISLATURE,,,1.0,,,,,1925 E STREET,LINCOLN,NE,68510,1.0,1,490,False,PCB,"Party, Candidate or Ballot Question Commitee"
18,19,05CAC00727,CAC,Candidate Committee,TOM OSBORNE FOR GOVERNOR,,,,,,,,525 SOUTH 13TH STREET,LINCOLN,NE,68508,1.0,1,493,False,PCB,"Party, Candidate or Ballot Question Commitee"
19,20,05CAC00728,CAC,Candidate Committee,KLEINE FOR DOUGLAS COUNTY ATTORNEY,,,,,,,,15471 STEVENS PLAZA,OMAHA,NE,68137,1.0,1,49745,False,PCB,"Party, Candidate or Ballot Question Commitee"
20,21,05CAC00729,CAC,Candidate Committee,GREG ADAMS FOR LEGISLATURE,,,1.0,,,,,306 E. 7TH STREET,YORK,NE,68467,,1,512,False,PCB,"Party, Candidate or Ballot Question Commitee"
21,22,05CAC00730,CAC,Candidate Committee,COMMITTEE TO RETAIN JEFFREY L. DAVIS FOR SHERIFF,,,,,,,,13705 S 41ST STREET,BELLEVUE,NE,68123,1.0,1,506,False,PCB,"Party, Candidate or Ballot Question Commitee"
22,23,05CAC00731,CAC,Candidate Committee,LEADERSHIP NEBRASKA,,,,,,,,219 NORTH BROWN AVE,MINDEN,NE,68959,1.0,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
23,24,05CAC00732,CAC,Candidate Committee,NAGENGAST FOR REGENT,,,1.0,,,,,5626 DECATUR STREET,OMAHA,NE,68104,1.0,1,511,False,PCB,"Party, Candidate or Ballot Question Commitee"
24,25,05CAC00733,CAC,Candidate Committee,TOM CARLSON FOR LEGISLATURE,,,1.0,,,,,1112 BROWN ST,HOLDREGE,NE,68949,1.0,1,516,False,PCB,"Party, Candidate or Ballot Question Commitee"
25,26,05CAC00734,CAC,Candidate Committee,ROSS FOR STATE TREASURER,,,,,,,,6649 FLINT RIDGE ROAD,LINCOLN,NE,68506,1.0,1,48072,False,PCB,"Party, Candidate or Ballot Question Commitee"
26,27,05CAC00735,CAC,Candidate Committee,DUBAS FOR LEGISLATURE,,,1.0,,,,,54906 N 180TH AVE; RR 1 BOX 42,FULLERTON,NE,68638,1.0,1,522,False,PCB,"Party, Candidate or Ballot Question Commitee"
27,28,05CAC00736,CAC,Candidate Committee,MCCLURG FOR REGENT,,,,,,,,2030 SURFSIDE DRIVE,LINCOLN,NE,68528,,1,45308,False,PCB,"Party, Candidate or Ballot Question Commitee"
28,29,05CAC00737,CAC,Candidate Committee,POORE FOR LEGISLATURE,,,,,,,,3645 L STREET,LINCOLN,NE,68510,,1,523,False,PCB,"Party, Candidate or Ballot Question Commitee"
29,30,05CAC00738,CAC,Candidate Committee,SHANE OSBORN FOR STATE TREASURER,,,,,,,,PO BOX 83046,LINCOLN,NE,68501,1.0,1,524,False,PCB,"Party, Candidate or Ballot Question Commitee"
30,31,05CAC00739,CAC,Candidate Committee,WHITE FOR LEGISLATURE,,,,,,,,2517 NORTH 55TH STREET,OMAHA,NE,68104,1.0,1,527,False,PCB,"Party, Candidate or Ballot Question Commitee"
31,32,05CAC00740,CAC,Candidate Committee,PETE PIRSCH FOR LEGISLATURE,,,,,,,,2315 NELSON'S CREEK DRIVE,OMAHA,NE,68116,1.0,1,49703,False,PCB,"Party, Candidate or Ballot Question Commitee"
32,33,05CAC00741,CAC,Candidate Committee,GARRISON FOR LEGISLATURE,,,,,,,,"155 S. MAIN, BOX 1",NELSON,NE,68961,,1,434,False,PCB,"Party, Candidate or Ballot Question Commitee"
